filename,pillar #,method,width (nm),height (nm),volume (nm^3),error height (nm),error volume (nm^3)
A3_50n1T_001,4.0,cone,267.09408,328.12433040463367,6128237.465241716,3.815508172997798,61901.96349848175
A3_50n1T_001,4.0,cylinder,267.09408,328.12433040463367,18384712.39572515,3.815508172997798,185705.89049544526
A3_50n1T_001,4.0,pillar,267.09408,328.12433040463367,12207725.654060313,3.815508172997798,371409.1936708046
A3_50n1T_001,5.0,cone,348.03168000000005,451.7208307744175,14324395.40770591,3.815508172997798,111042.36907019495
A3_50n1T_001,5.0,cylinder,348.03168000000005,451.7208307744175,42973186.22311774,3.815508172997798,333127.1072105849
A3_50n1T_001,5.0,pillar,348.03168000000005,451.7208307744175,31425209.466892004,3.815508172997798,666251.7655035106
A3_50n1T_001,6.0,cone,315.65664000000004,437.3849058180835,11409386.091142835,3.815508172997798,97516.63019546137
A3_50n1T_001,6.0,cylinder,315.65664000000004,437.3849058180835,34228158.273428515,3.815508172997798,292549.89058638416
A3_50n1T_001,6.0,pillar,315.65664000000004,437.3849058180835,23714449.31754721,3.815508172997798,585097.4872617233
A3_50n1T_001,7.0,cone,259.00032000000004,385.5884799335147,6771630.901286571,3.815508172997798,70538.29633695826
A3_50n1T_001,7.0,cylinder,259.00032000000004,385.5884799335147,20314892.703859717,3.815508172997798,211614.8890108748
A3_50n1T_001,7.0,pillar,259.00032000000004,385.5884799335147,11528492.285883827,3.815508172997798,423227.64300504053
A3_50n1T_001,8.0,cone,291.37536000000006,491.4966010417958,10924329.520025592,3.815508172997798,101151.61800074617
A3_50n1T_001,8.0,cylinder,291.37536000000006,491.4966010417958,32772988.56007678,3.815508172997798,303454.8540022385
A3_50n1T_001,8.0,pillar,291.37536000000006,491.4966010417958,19916326.390962914,3.815508172997798,606907.8236698273
A3_50n1T_001,9.0,cone,178.06272,700.7754194584775,5816925.384418281,3.815508172997798,88135.41257393222
A3_50n1T_001,9.0,cylinder,178.06272,700.7754194584775,17450776.153254844,3.815508172997798,264406.2377217966
A3_50n1T_001,9.0,pillar,178.06272,700.7754194584775,7261100.6796929445,3.815508172997798,528811.6677987139
B1_52a1T,1.0,cone,43.166720000000005,28.017335360658585,13667.640774596572,3.815458570457708,855.3150975769055
B1_52a1T,1.0,cylinder,43.166720000000005,28.017335360658585,41002.92232378972,3.815458570457708,2565.945292730716
B1_52a1T,1.0,pillar,43.166720000000005,28.017335360658585,13414.357445585141,3.815458570457708,5126.997392810089
B1_52a1T,2.0,cone,45.86464000000001,49.561110154948814,27293.902167864737,3.815458570457708,1606.1771660230777
B1_52a1T,2.0,cylinder,45.86464000000001,49.561110154948814,81881.70650359422,3.815458570457708,4818.531498069233
B1_52a1T,2.0,pillar,45.86464000000001,49.561110154948814,36513.22660798297,3.815458570457708,9634.122354845578
B1_52a1T,3.0,cone,45.86464000000001,61.007485866321936,33597.55956912344,3.815458570457708,1976.8579663033615
B1_52a1T,3.0,cylinder,45.86464000000001,61.007485866321936,100792.67870737035,3.815458570457708,5930.5738989100855
B1_52a1T,3.0,pillar,45.86464000000001,61.007485866321936,44910.83248855253,3.815458570457708,11858.758680331104
B1_52a1T,4.0,cone,45.86464000000001,95.34661300044152,52508.53177289968,3.815458570457708,3089.076907179442
B1_52a1T,4.0,cylinder,45.86464000000001,95.34661300044152,157525.59531869908,3.815458570457708,9267.230721538326
B1_52a1T,4.0,pillar,45.86464000000001,95.34661300044152,96343.4420116253,3.815458570457708,18532.93261579206
B1_52a1T,5.0,cone,59.354240000000004,126.75631556274,116907.32693443561,3.815458570457708,5314.300134651463
B1_52a1T,5.0,cylinder,59.354240000000004,126.75631556274,350721.98080330685,3.815458570457708,15942.900403954387
B1_52a1T,5.0,pillar,59.354240000000004,126.75631556274,246278.87791561274,3.815458570457708,31884.312541053565
B1_52a1T,6.0,cone,48.562560000000005,189.38410063342843,116927.12946018955,3.815458570457708,6496.132751939978
B1_52a1T,6.0,cylinder,48.562560000000005,189.38410063342843,350781.3883805687,3.815458570457708,19488.39825581994
B1_52a1T,6.0,pillar,48.562560000000005,189.38410063342843,280719.968007611,3.815458570457708,38975.981495797816
B1_52a1T,7.0,cone,45.86464000000001,247.96495581874984,136557.2971230158,3.815458570457708,8032.912827023539
B1_52a1T,7.0,cylinder,45.86464000000001,247.96495581874984,409671.8913690474,3.815458570457708,24098.738481070617
B1_52a1T,7.0,pillar,45.86464000000001,247.96495581874984,325194.56122964044,3.815458570457708,48196.88906841113
B1_52a1T,8.0,cone,48.562560000000005,338.18698488127916,208799.11898995322,3.815458570457708,11600.0524801879
B1_52a1T,8.0,cylinder,48.562560000000005,338.18698488127916,626397.3569698597,3.815458570457708,34800.1574405637
B1_52a1T,8.0,pillar,48.562560000000005,338.18698488127916,535723.6312536856,3.815458570457708,69599.858468269
B1_52a1T,9.0,cone,48.562560000000005,471.72803484729894,291248.340362818,3.815458570457708,16180.536066472194
B1_52a1T,9.0,cylinder,48.562560000000005,471.72803484729894,873745.0210884539,3.815458570457708,48541.60819941658
B1_52a1T,9.0,pillar,48.562560000000005,471.72803484729894,763876.7676452638,3.815458570457708,97082.88919059659
B1_52a2T,2.0,cone,45.86464000000001,15.221983020829438,8382.929964088613,3.815458570457708,495.2371416677992
B1_52a2T,2.0,cylinder,45.86464000000001,15.221983020829438,25148.78989226584,3.815458570457708,1485.7114250033974
B1_52a2T,2.0,pillar,45.86464000000001,15.221983020829438,5692.922428126377,3.815458570457708,2961.8717241191393
B1_52a2T,3.0,cone,51.26048000000001,31.601322616206797,21738.98302405795,3.815458570457708,1145.302153369236
B1_52a2T,3.0,cylinder,51.26048000000001,31.601322616206797,65216.949072173855,3.815458570457708,3435.906460107708
B1_52a2T,3.0,pillar,51.26048000000001,31.601322616206797,30733.056326551974,3.815458570457708,6866.660380298771
B1_52a2T,4.0,cone,59.354240000000004,35.18530987175501,32451.404935564624,3.815458570457708,1476.254878143066
B1_52a2T,4.0,cylinder,59.354240000000004,35.18530987175501,97354.21480669388,3.815458570457708,4428.764634429198
B1_52a2T,4.0,pillar,59.354240000000004,35.18530987175501,56820.164464632995,3.815458570457708,8852.170231227647
B1_52a2T,5.0,cone,67.44800000000001,54.03113140913405,64350.33927353169,3.815458570457708,2574.895134640819
B1_52a2T,5.0,cylinder,67.44800000000001,54.03113140913405,193051.01782059507,3.815458570457708,7724.685403922458
B1_52a2T,5.0,pillar,67.44800000000001,54.03113140913405,121318.14002007246,3.815458570457708,15445.403941014223
B1_52a2T,6.0,cone,72.84384000000001,66.59501243405327,92511.55789757105,3.815458570457708,3427.1265081799734
B1_52a2T,6.0,cylinder,72.84384000000001,66.59501243405327,277534.6736927132,3.815458570457708,10281.37952453992
B1_52a2T,6.0,pillar,72.84384000000001,66.59501243405327,164069.58813933568,3.815458570457708,20559.282843164667
